"partner_type","organization","website","hq_state","states_served","est_hospitals_reached","reach_source_url","partner_motion","program_evidence","program_source_url","existing_rcm_or_denials_partner","competitor_risk","competitor_risk_reason","montana_or_meditech_tie","priority","priority_reason","date_checked"
"State hospital association service arm","Solvent Networks (South Carolina Hospital Association)","solventnetworks.com","SC","SC","~100 member hospitals (SCHA); 3 CAHs (FMT 2024)","https://scha.org/about/","endorse","Endorsed partners ""provide a revenue share to Solvent Networks"" (per Solvent)","https://solventnetworks.com/endorsed-partners/","none current (PARA/CorroHealth endorsed 2022, not on current list)","low","Denials vendor slot appears vacated.","N","B","(judgment) Open slot, but only 3 CAHs; rural count NOT_FOUND.","2026-09-24"
"State hospital association service arm","SDAHO Enterprises (South Dakota Association of Healthcare Organizations)","enterprises.sdaho.org","SD","SD","39 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Current endorsed list shows only AblePay, Jackson Physician Search, Medical Solutions, SUNRx (per SDAHO, re-fetched 2026-09-24); SDAHO still posted a CorroHealth ""Endorsed Business Partner"" feature on 2025-07-01","https://enterprises.sdaho.org/endorsed-partners","AblePay (current); CorroHealth (endorsed as of Jul 2025, absent from current list)","med","CorroHealth dropped from the page but was endorsed 14 months ago; status unconfirmed.","N","A","(judgment) 39 CAHs and the RCM slot may have reopened; confirm CorroHealth status first.","2026-09-24"
"State hospital association service arm","THA Innovative Solutions (Tennessee Hospital Association)","thainnovativesolutions.com","TN","TN","160+ member hospitals incl. 57 rural (THA IS); 15 CAHs (FMT 2024)","https://thainnovativesolutions.com/become-a-partner/","endorse","""$25,000 plus a revenue share"" ($6,250 quarterly); ""we do not engage competitors of our endorsed partners""; 3-6 months; ~2% acceptance; quarterly board (per THA IS, re-fetched 2026-09-24)","https://thainnovativesolutions.com/become-a-partner/","Turquoise (price transparency); Xsolis (UM/medical necessity)","low","No denials/appeals category on partner list; Xsolis adjacent.","N","A","(judgment) 57 rural hospitals, exclusive category protection, clear terms.","2026-09-24"
"State hospital association service arm","THA Member Solutions (Texas Hospital Association)","tha.org","TX","TX","450+ hospitals/systems (2023); 88 CAHs statewide (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse/refer","Endorsed Partner RFI (2025); regional Member Ambassadors, West TX covers mostly rural hospitals (per THA)","https://www.tha.org/services-for-hospitals/partners/","AblePay; MSE & Associates (overpayment audit); Bratton (subrogation)","low","No denials/appeals partner listed.","N","A","(judgment) Open slot, RFI live, ambassadors sell into rural TX.","2026-09-24"
"State hospital association service arm","TORCH Management Services, Inc. (TMSI, Texas Organization of Rural & Community Hospitals)","torchnet.org","TX","TX (rural)","157 rural TX hospitals (TEXLA 2026); 88 TX CAHs (FMT 2024)","https://texlatrc.org/2026-digital-health-summit/meet-the-speakers/","endorse/refer","Wholly owned TORCH sub; Endorsed Partners approved by TMSI board of rural CEOs/CFOs (per TORCH)","https://www.torchnet.org/endorsed-partners.html","TruBridge (RCM); Meduit (denials management); SlicedHealth (AI underpayments/denials)","high","Meduit and TruBridge endorsed for denials/RCM; R1, MEDHOST, Premier Medical Appeals are corporate members.","Y: MEDITECH and Oracle Health are TORCH corporate members","B","(judgment) Biggest rural base and MEDITECH tie, but denials taken; corporate membership is a lower-cost entry.","2026-09-24"
"State hospital association service arm","Utah Hospital Association","utahhospitals.org","UT","UT","63 hospitals (UHA); 13 CAHs (FMT 2024)","https://utahhospitals.org/uha-mission-and-vision/","refer","No vendor program found; staff include a Rural Hospital Improvement Director (per UHA)","https://utahhospitals.org/about-us/staff/","none found","low","No program.","N","C","(judgment) No endorsement mechanism.","2026-09-24"
"State hospital association service arm","Vermont Association of Hospitals and Health Systems (VAHHS)","vahhs.org","VT","VT","8 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","sponsor","Corporate Members program only (per VAHHS); AES past client","https://vahhs.org/corporate-members","none found","low","No endorsement program.","N","C","(judgment) Corporate membership only; 8 CAHs.","2026-09-24"
"State hospital association service arm","VHHA Solutions (Virginia Hospital & Healthcare Association)","vhhasolutions.com","VA","VA","117 hospitals (Feb 2026); 8 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","Endorsed Partnership ""by invitation only"", ""Customized Exclusivity"", ""often with revenue-sharing""; endorsed Andor agentic AI Feb 2026 (per VHHA)","https://vhhasolutions.com/become-a-partner/","AblePay; CommerceHealthcare; Hyve; Premier (R1-linked)","med","No denials vendor; Premier partnership could conflict via R1.","N","B","(judgment) AI appetite shown, but invitation-only and only 8 CAHs.","2026-09-24"
"State hospital association service arm","Washington Hospital Services (WHS, Washington State Hospital Association)","wahospitalservices.com","WA","WA","100+ hospitals (WSHA); 39 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","""We only choose one partner per service""; Operations and Revenue partners: Commerce Healthcare (AP), ERA, HSC (enrollment), Stericycle, SunRX; ""revenue supports the Washington State Hospital Association"" (per WHS PDF Jul 2025, re-fetched 2026-09-24)","https://wahospitalservices.com/wp-content/uploads/2025/07/WHS-Preferred-Partners.pdf","none found (no RCM or denials partner in Jul 2025 list)","low","Verified: no denials/RCM partner; one-per-service exclusivity would protect Aegis.","N","A","(judgment) 39 CAHs, open exclusive slot, vetting asks other state associations (MT reference helps).","2026-09-24"
"State hospital association service arm","West Virginia Health Services, Inc. (WVHS, West Virginia Hospital Association)","wvha.org","WV","WV","21 CAHs (FMT 2024); WVHA runs a CAH Network","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","""wholly owned, for-profit subsidiary... group purchasing and related administrative services""; online intake form (per WVHA)","https://wvha.org/services/west-virginia-health-services/preferred-providers/","CommerceHealthcare (payments)","low","No RCM/denials endorsed.","N","A","(judgment) 21 CAHs, open slot, CAH Network director reachable.","2026-09-24"
"State hospital association service arm","Wisconsin Hospital Association (Corporate Membership)","wha.org","WI","WI","150+ member hospitals (WHA); 53 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","refer/sponsor","Aegis Health already listed as Corporate-Associate member (Service: Revenue Cycle Management); ladder Associate/Patron/Champion (per WHA)","https://wha.org/about-wha/corporate-membership/corporate-member-directory","none endorsed","low","No endorsement program; no denials vendor elevated.","N","B","(judgment) Aegis is already inside; upgrade tier and use education (Aug 2026 denials video shows demand).","2026-09-24"
"State hospital association service arm","WHA Resources (Wyoming Hospital Association)","wyohospitals.com","WY","WY","34 members (HSP 2024); 16 CAHs (FMT 2024)","https://flexmonitoring.org/sites/flexmonitoring.umn.edu/files/media/state-medians-2024data_report-final_2026.pdf","endorse","For-profit sub; ""WHA-endorsed company logo serves as a seal of approval"" (per Unidine/WHA page); endorsed vendors get member discounts","https://wyohospitals.com/resources0240f34b","none found (list image-only; Corpay AP, staffing vendors seen)","low","No RCM/denials vendor seen in text sources.","N (borders MT, not a tie under the definition)","A","(judgment) 16 CAHs, open slot, neighbor to Glendive's region.","2026-09-24"
"State hospital association service arm","Affiliated Enterprise Solutions (AES) (operator)","aesllc.org","TX","multi-state (45+ associations)","45+ healthcare associations (AES); coalition of 5 assocs with 350+ hospitals","https://www.aesllc.org/solutions/association-solutions/","endorse/refer","Operator: runs association business-partner programs; ""Best-In-Class"" portfolio ""integrated into your existing Business Partner Program""; Revenue Cycle Management is a portfolio category; past clients incl. IA, KS, ND, SD, WA, WI, ME, VT, IN, NM, LA, MS, TX, NRHRC (per AES)","https://www.aesllc.org/solutions/association-solutions/","Pivotal Health (IDR, coalition exclusive, Aug 2026); RCM portfolio vendors not named","low","Consultancy, not an RCM seller; portfolio RCM vendors unknown.","N","A","(judgment) One vetting could reach several rural-state programs (MI, NH run by AES).","2026-09-24"
"State hospital association service arm","NRHA Services Corporation (National Rural Health Association partner program)","nrhasc.com","MO","national (rural)","1,800 rural organizations (NRHA partners site)","https://nrhapartners.com/","endorse/refer","""Prospective partners must meet stringent requirements... approved by a rural hospital review committee""; Pipeline Partnership $20,000/yr; Emerging Partner needs >=3 rural implementations (per NRHA)","https://nrhapartners.com/wp-content/uploads/2024/10/NRHA-Rural-Hospital-Partnership-Info-Sheet-7.pdf","TruBridge (Founding Partner, RCM); InlandRCM (denial resolution); Net Revenue; Demi; HELP Financial; Vector Health","med","Non-exclusive program already holds RCM vendors with denials work (TruBridge, InlandRCM).","N","A","(judgment) National rural reach, pay-to-play but non-exclusive; Glendive counts toward the 3-implementation bar.","2026-09-24"
